Country,Count,Amount,Lakhs,Lat,Long,Label
India,112,"2,956,229.00",29.56,20.593684,78.96288,"India,112,29.56"
United States,67,"370,390.13",3.70,37.09024,-95.712891,"United States,67,3.7"
Brazil,36,"203,980.17",2.04,-14.235004,-51.92528,"Brazil,36,2.04"
Indonesia,3,"146,652.75",1.47,-0.789275,113.921327,"Indonesia,3,1.47"
Vietnam,3,"49,993.76",0.50,14.058324,108.277199,"Vietnam,3,0.5"
United Kingdom,2,"49,480.00",0.49,55.378051,-3.435973,"United Kingdom,2,0.49"
Jordan,1,"42,411.71",0.42,30.585164,36.238414,"Jordan,1,0.42"
China,3,"41,101.32",0.41,35.86166,104.195397,"China,3,0.41"
Canada,2,"23,562.16",0.24,56.130366,-106.346771,"Canada,2,0.24"
South Africa,3,"14,649.73",0.15,-30.559482,22.937506,"South Africa,3,0.15"
Russian Federation,1,"3,642.23",0.04,61.52401,105.318756,"Russian Federation,1,0.04"
Mexico,2,455.92,0.00,23.634501,-102.552784,"Mexico,2,0"
United Arab Emirates,2,0.00,0.00,23.424076,53.847818,"United Arab Emirates,2,0"
Poland,1,0.00,0.00,51.919438,19.145136,"Poland,1,0"
Kazakhstan,2,0.00,0.00,48.019573,66.923684,"Kazakhstan,2,0"
Estonia,1,0.00,0.00,58.595272,25.013607,"Estonia,1,0"
Thailand,3,0.00,0.00,15.870032,100.992541,"Thailand,3,0"
Saudi Arabia,1,0.00,0.00,23.885942,45.079162,"Saudi Arabia,1,0"
Greece,1,0.00,0.00,39.074208,21.824312,"Greece,1,0"
France,5,0.00,0.00,46.227638,2.213749,"France,5,0"
Bangladesh,111,0.00,0.00,23.684994,90.356331,"Bangladesh,111,0"
Sri Lanka,1,0.00,0.00,7.873054,80.771797,"Sri Lanka,1,0"
Taiwan,4,0.00,0.00,23.69781,120.960515,"Taiwan,4,0"
