paths,counts
<1 min-30K _ 40K,261
<1 min-40K _ 50K,5731
<1 min-50K _ 60K,3455
<1 min-60K _ 70K,593
<1 min-70K _ 80K,53
<1 min-80K _ 90K,1130
1_2 min-30K _ 40K,437
1_2 min-40K _ 50K,5190
1_2 min-50K _ 60K,4084
1_2 min-60K _ 70K,640
1_2 min-70K _ 80K,74
1_2 min-80K _ 90K,822
2_3 min-30K _ 40K,52
2_3 min-40K _ 50K,423
2_3 min-50K _ 60K,331
2_3 min-60K _ 70K,40
2_3 min-70K _ 80K,6
2_3 min-80K _ 90K,75
3_4 min-30K _ 40K,16
3_4 min-40K _ 50K,150
3_4 min-50K _ 60K,122
3_4 min-60K _ 70K,17
3_4 min-70K _ 80K,3
3_4 min-80K _ 90K,32
4_5 min-30K _ 40K,13
4_5 min-40K _ 50K,96
4_5 min-50K _ 60K,62
4_5 min-60K _ 70K,9
4_5 min-80K _ 90K,13
5_6 min-30K _ 40K,5
5_6 min-40K _ 50K,39
5_6 min-50K _ 60K,37
5_6 min-60K _ 70K,4
5_6 min-70K _ 80K,2
5_6 min-80K _ 90K,9
6_7 min-30K _ 40K,5
6_7 min-40K _ 50K,41
6_7 min-50K _ 60K,27
6_7 min-60K _ 70K,3
6_7 min-70K _ 80K,1
6_7 min-80K _ 90K,9
7_8 min-30K _ 40K,6
7_8 min-40K _ 50K,28
7_8 min-50K _ 60K,20
7_8 min-60K _ 70K,3
7_8 min-70K _ 80K,1
7_8 min-80K _ 90K,6
8_10 min-30K _ 40K,8
8_10 min-40K _ 50K,63
8_10 min-50K _ 60K,46
8_10 min-60K _ 70K,8
8_10 min-70K _ 80K,2
8_10 min-80K _ 90K,13
> 11 min-30K _ 40K,80
> 11 min-40K _ 50K,559
> 11 min-50K _ 60K,444
> 11 min-60K _ 70K,65
> 11 min-70K _ 80K,17
> 11 min-80K _ 90K,147
